Date,Malappuram-Angadipuram,Malappuram-Manjeri,Malappuram-Nilambur,Malappuram-Perinthalamanna,Malappuram-Ponnani,Malappuram-Tiruvangadi,Palakkad-Alathur,Palakkad-Alattur,Palakkad-Cherapalaseri,Palakkad-Mannarkad,Palakkad-Ottapalam,Malappuram-Palakkad,Palakkad-OBSY,Palakkad-Parli,Palakkad-Pattembi,Thrissur-Chalakudi,Thrissur-Enamakkal,Thrissur-Kodungallur,Thrissur-Mukundarpuram,Thrissur-Ollukara,Thrissur-Peechi,Thrissur-Thalipilly,Thrissur-Thrissur,Coimbatore-Anaimalai,Coimbatore-Attakatti,Coimbatore-Nirardam1,Coimbatore-Parambikulam,Coimbatore-Pollachi,Coimbatore-Sholiyarnagar,Coimbatore-Solayar,Coimbatore-Topslip,Coimbatore-Nirar,Coimbatore-Valparai,Palakkad-Chittur
1970-02-09,0.05,0.0,0.03,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.33,1.09,0.05,1.49,0.17,0.0
1970-02-10,0.0,0.0,0.03,0.03,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.06,0.27,0.0,0.07,0.1,0.0
1970-02-11,0.96,0.0,0.03,1.38,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.67,0.0,0.07,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.88,0.0,0.56,0.27,0.98,0.0,0.37,0.0
1970-02-12,1.08,0.0,0.46,0.08,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.25,0.0,0.28,0.0,2.43,0.78,0.77,0.0
1970-02-13,0.05,0.0,0.06,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.15,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.5,0.0,0.08,2.18,0.69,0.22,0.39,0.0
1970-02-14,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.93,3.36,0.0,0.0,0.47,0.0
1970-02-15,0.09,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,2.1,2.64,0.0,0.28,0.26,0.0
1970-02-16,0.17,0.0,0.06,0.08,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,2.21,4.45,0.05,0.07,0.33,0.0
1970-02-17,0.0,0.0,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.53,0.09,0.19,0.0,0.79,0.0
1970-02-18,0.0,0.0,0.06,0.03,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.0,0.0,0.05,0.0
1970-02-19,0.0,0.0,0.06,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,1.22,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.08,4.12,0.0,0.14,0.45,0.0,0.07,0.08,0.0
1970-02-20,0.0,0.0,0.06,0.03,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1.33,0.18,0.0,0.0,0.13,0.0
1970-02-21,0.0,0.0,0.38,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.18,0.0,0.0,0.04,0.0
1970-02-22,0.0,0.0,0.06,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.62,0.0,0.03,0.27,0.0,0.0,0.33,0.0
1970-02-23,1.19,0.0,0.06,0.78,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.5,0.09,0.14,0.07,1.16,0.0
1970-02-24,0.0,0.0,0.27,0.11,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.58,0.0,0.87,0.0,0.74,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,1.06,1.18,0.95,2.07,1.08,0.0
1970-02-25,0.79,0.0,0.06,0.59,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.75,0.0,1.06,1.55,3.4,0.42,1.63,0.0
1970-02-26,1.37,0.0,0.06,0.86,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.12,0.0,0.34,0.18,0.35,0.34,1.34,0.0
